# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 694
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 694
DATA ascii
0.35704 -0.07170 -0.29680 -283547558916400657583351550349970243584.00000
0.35748 -0.06416 -0.29549 -287535303750984216157074243372565135360.00000
0.35352 -0.04818 -0.29374 -288885321216612874992162596365413646336.00000
0.35804 -0.04915 -0.29234 -283552852625307210669332200582555893760.00000
0.35456 -0.04149 -0.29619 -282233948376010553496674182673180131328.00000
0.36012 -0.03543 -0.29714 -283557963792527330890279035289879969792.00000
0.35535 -0.02727 -0.29598 -282223523217474276538076273786019119104.00000
0.36172 -0.02123 -0.30094 -288895726092739548299090081305323372544.00000
0.35611 -0.00597 -0.29603 -287556174350466373725940485094138445824.00000
0.36131 -0.01368 -0.29803 -288890554078290617123131974756245438464.00000
0.35372 0.00142 -0.28453 -284887293200360265021534962086416744448.00000
0.35825 0.00127 -0.28350 -290225035218162878778675584154608861184.00000
0.35066 0.01493 -0.27035 -283552812060488003365991352688053321728.00000
0.35586 0.01508 -0.27305 -288890594643109824426472822650748010496.00000
0.34866 0.03411 -0.26306 -286221754057822923025408147537528881152.00000
0.35481 0.02841 -0.26948 -284887272917950661369864538139165458432.00000
0.35582 0.04245 -0.27598 -287550982053607838898311954597809225728.00000
0.35616 0.04963 -0.27895 -288885402346251289598844292154418790400.00000
0.35118 0.06997 -0.28395 -278204685448968319953593669627202764800.00000
0.35545 0.07839 -0.28483 -284866382036058900149327872470340861952.00000
0.35520 0.08584 -0.28678 -286200822611111954501530633974201712640.00000
0.36325 -0.08315 -0.30569 -283547558916400657583351550349970243584.00000
0.36160 -0.07300 -0.29501 -288869703761218063205936156981923414016.00000
0.36207 -0.06536 -0.29380 -291538584911324171910341679989645115392.00000
0.36242 -0.05774 -0.29240 -292873066051196433565885289388008538112.00000
0.36851 -0.05194 -0.29362 -290209377197948859689108296876616056832.00000
0.36487 -0.03621 -0.29575 -286226844942633439594684558297601671168.00000
0.36976 -0.04485 -0.29629 -288890574360700220774802398703496724480.00000
0.36657 -0.02177 -0.29965 -287561265235276890295216895854211235840.00000
0.37187 -0.03024 -0.30087 -290230146385382998999622418861932937216.00000
0.36774 -0.00696 -0.30248 -287561265235276890295216895854211235840.00000
0.37278 -0.00726 -0.30114 -288895705810329944647419657358072086528.00000
0.36491 0.00090 -0.29050 -291564586960436053351825180365793787904.00000
0.37114 0.00812 -0.29416 -292899047817898711355698365816905924608.00000
0.36220 0.02235 -0.27973 -294217952067195368528356383726281687040.00000
0.36905 0.01551 -0.28629 -298226466089213066412593198734193459200.00000
0.36202 0.02939 -0.27963 -287550921206379027943300682756055367680.00000
0.36777 0.02997 -0.28232 -290219802356485136647706205763777069056.00000
0.36261 0.05128 -0.28561 -292888642941772038048770880876996198400.00000
0.36949 0.05303 -0.29249 -292893835238630572876399411373325418496.00000
0.36190 0.05829 -0.28444 -294223083516825092400973642380857049088.00000
0.36106 0.06521 -0.28301 -288885321216612874992162596365413646336.00000
0.36009 0.07203 -0.28134 -290219761791665929344365357869274497024.00000
0.36471 0.07309 -0.27988 -291548969505041241565598740982303555584.00000
0.35836 0.09366 -0.28283 -291528180035197498603414195049735389184.00000
0.36429 0.08838 -0.28363 -290209316350720048734097025034862198784.00000
0.38181 -0.11077 -0.32143 -284892384085170781590811372846489534464.00000
0.37473 -0.09717 -0.31240 -286226844942633439594684558297601671168.00000
0.38201 -0.09182 -0.31422 -294212698923108022745716581388198608896.00000
0.37349 -0.07801 -0.30041 -290193739460144444251211433545874538496.00000
0.38037 -0.07234 -0.30189 -292857387748572810824647578162764447744.00000
